,security_concern,obj_name,scanner_name,severity_category,severity_numeric
1,dangerous-capabilities,pod-034-1-using-dangerous-capability-all,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
3,dangerous-capabilities,pod-034-2-using-dangerous-capability-sys-admin,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
5,dangerous-capabilities,pod-034-3-using-dangerous-capability-net-admin,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
7,dangerous-capabilities,pod-035-1-using-insecure-capability-audit-write,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
9,dangerous-capabilities,pod-035-10-using-insecure-capability-mknod,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
11,dangerous-capabilities,pod-035-11-using-insecure-capability-net-bind-service,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
13,dangerous-capabilities,pod-035-12-using-insecure-capability-net-raw,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
15,dangerous-capabilities,pod-035-13-using-insecure-capability-perfmon,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
17,dangerous-capabilities,pod-035-14-using-insecure-capability-setfcap,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
19,dangerous-capabilities,pod-035-15-using-insecure-capability-setgid,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
21,dangerous-capabilities,pod-035-16-using-insecure-capability-setpcap,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
23,dangerous-capabilities,pod-035-17-using-insecure-capability-setuid,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
25,dangerous-capabilities,pod-035-18-using-insecure-capability-sys-boot,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
28,dangerous-capabilities,pod-035-2-using-insecure-capability-bpf,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
30,dangerous-capabilities,pod-035-20-using-insecure-capability-sys-module,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
