,scanner_name,scanner_check_id,obj_name,severity,severity_category,severity_numeric,security_concern
0,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-8-set-runasnonroot-correctly-on-contai,MEDIUM,MEDIUM,3,root-user
1,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-018-1-default-to-root-u,MEDIUM,MEDIUM,3,root-user
2,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-018-5-use-uid-set-in-container-takes-precede,MEDIUM,MEDIUM,3,other
3,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-9-set-runasnonroot-not-correctly-on-contai,MEDIUM,MEDIUM,3,root-user
4,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-4-use-root-user-in-,MEDIUM,MEDIUM,3,root-user
5,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-7-use-root-user-on-contai,MEDIUM,MEDIUM,3,root-user
6,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-1-default-to-root-u,MEDIUM,MEDIUM,3,root-user
7,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-018-2-use-uid-between-1k-10k-on-,MEDIUM,MEDIUM,3,other
8,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-018-3-use-uid-between-1k-10k-on-contai,MEDIUM,MEDIUM,3,other
9,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-2-use-runasnonroot-flag-on-,MEDIUM,MEDIUM,3,root-user
10,kics,02323c00-cdc3-4fdc-a310-4f2b3e7a1660,pod-017-5-use-runasnonroot-flag-on-contai,MEDIUM,MEDIUM,3,root-user
11,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-5-using-insecure-capability-fow,MEDIUM,MEDIUM,3,dangerous-capabilities
12,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-22-using-insecure-capability-sys-ptr,MEDIUM,MEDIUM,3,dangerous-capabilities
13,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-17-using-insecure-capability-set,MEDIUM,MEDIUM,3,dangerous-capabilities
14,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-14-using-insecure-capability-setf,MEDIUM,MEDIUM,3,dangerous-capabilities
15,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-4-using-insecure-capability-dac-overri,MEDIUM,MEDIUM,3,dangerous-capabilities
16,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-6-using-insecure-capability-fse,MEDIUM,MEDIUM,3,dangerous-capabilities
17,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-1-using-insecure-capability-audit-wr,MEDIUM,MEDIUM,3,dangerous-capabilities
18,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-2-using-insecure-capability-,MEDIUM,MEDIUM,3,dangerous-capabilities
19,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-21-using-insecure-capability-sys-ra,MEDIUM,MEDIUM,3,dangerous-capabilities
20,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-3-using-insecure-capability-ch,MEDIUM,MEDIUM,3,dangerous-capabilities
21,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-12-using-insecure-capability-net-,MEDIUM,MEDIUM,3,dangerous-capabilities
22,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-19-using-insecure-capability-sys-chr,MEDIUM,MEDIUM,3,dangerous-capabilities
23,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-16-using-insecure-capability-setp,MEDIUM,MEDIUM,3,dangerous-capabilities
24,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-034-1-using-dangerous-capability-,MEDIUM,MEDIUM,3,dangerous-capabilities
25,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-15-using-insecure-capability-set,MEDIUM,MEDIUM,3,dangerous-capabilities
26,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-034-3-using-dangerous-capability-net-ad,MEDIUM,MEDIUM,3,dangerous-capabilities
27,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-9-using-insecure-capability-mac-ad,MEDIUM,MEDIUM,3,dangerous-capabilities
28,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-034-2-using-dangerous-capability-sys-ad,MEDIUM,MEDIUM,3,dangerous-capabilities
29,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-7-using-insecure-capability-k,MEDIUM,MEDIUM,3,dangerous-capabilities
30,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-18-using-insecure-capability-sys-b,MEDIUM,MEDIUM,3,dangerous-capabilities
31,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-10-using-insecure-capability-mk,MEDIUM,MEDIUM,3,dangerous-capabilities
32,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-20-using-insecure-capability-sys-mod,MEDIUM,MEDIUM,3,dangerous-capabilities
33,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-13-using-insecure-capability-perf,MEDIUM,MEDIUM,3,dangerous-capabilities
34,kics,19ebaa28-fc86-4a58-bcfa-015c9e22fe40,pod-035-8-using-insecure-capability-mac-overr,MEDIUM,MEDIUM,3,dangerous-capabilities
35,kics,1e749bc9-fde8-471c-af0c-8254efd2dee5,rbac-007-1-role-binds-default-serviceacco,MEDIUM,MEDIUM,3,rbac-permissions
36,kics,229588ef-8fde-40c8-8756-f4f2b5825ded,res-001-2-no-memory-reque,MEDIUM,MEDIUM,3,resource-limits
37,kics,229588ef-8fde-40c8-8756-f4f2b5825ded,res-001-1-default-memory-requests-from-namesp,MEDIUM,MEDIUM,3,resource-limits
38,kics,235236ee-ad78-4065-bd29-61b061f28ce0,pod-034-2-using-dangerous-capability-sys-ad,HIGH,HIGH,4,dangerous-capabilities
39,kics,249328b8-5f0f-409f-b1dd-029f07882e11,rbac-001-2-use-cluster-admin-role-cluster-w,LOW,LOW,2,rbac-permissions
40,kics,268ca686-7fb7-4ae9-b129-955a2a89064e,pod-036-keep-default-capabilit,LOW,LOW,2,other
41,kics,302736f4-b16c-41b8-befe-c0baffa0bd9d,pod-008-2-pod-has-hostpid-,HIGH,HIGH,4,host-access
42,kics,38fa11ef-dbcc-4da8-9680-7e1fd855b6fb,rbac-008-3-role-port-forward-p,MEDIUM,MEDIUM,3,rbac-permissions
43,kics,38fa11ef-dbcc-4da8-9680-7e1fd855b6fb,rbac-008-6-cluster-role-port-forward-p,MEDIUM,MEDIUM,3,rbac-permissions
44,kics,38fa11ef-dbcc-4da8-9680-7e1fd855b6fb,rbac-008-5-cluster-role-port-forward-p,MEDIUM,MEDIUM,3,rbac-permissions
45,kics,38fa11ef-dbcc-4da8-9680-7e1fd855b6fb,rbac-008-1-role-port-forward-p,MEDIUM,MEDIUM,3,rbac-permissions
46,kics,38fa11ef-dbcc-4da8-9680-7e1fd855b6fb,rbac-008-2-role-port-forward-p,MEDIUM,MEDIUM,3,rbac-permissions
47,kics,38fa11ef-dbcc-4da8-9680-7e1fd855b6fb,rbac-008-4-cluster-role-port-forward-p,MEDIUM,MEDIUM,3,rbac-permissions
